"Author","Quote"
"Winifred Holtby","The things that one most wants to do are the things that are probably most worth doing."
"Abraham Lincoln","Always bear in mind that your own resolution to succeed is more important than any one thing."
"Albert Einstein","Setting an example is not the main means of influencing another, it is the only means."
"Richard Garriott","Chaos and Order are not enemies, only opposites."
"Henry Longfellow","Perseverance is a great element of success. If you only knock long enough and loud enough at the gate, you are sure to wake up somebody."
"Harriet Lerner","Only through our connectedness to others can we really know and enhance the self. And only through working on the self can we begin to enhance our connectedness to others."
"Chinese proverb","He who deliberates fully before taking a step will spend his entire life on one leg."
"Mother Teresa","Peace begins with a smile."
"Doug Horton","Be your own hero, it's cheaper than a movie ticket."
"Maori proverb","Turn your face toward the sun and the shadows will fall behind you."
"Jack Buck","Things turn out best for those who make the best of the way things turn out."
"Whoopi Goldberg","Were here for a reason. I believe a bit of the reason is to throw little torches out to lead people through the dark."
"Anthony Robbins","To effectively communicate, we must realize that we are all different in the way we perceive the world and use this understanding as a guide to our communication with others."
"Confucius","Ability will never catch up with the demand for it."
"Albert Schweitzer","Never say there is nothing beautiful in the world any more. There is always something to make you wonder in the shape of a tree, the trembling of a leaf."
"Henry Reed","Intuition is the very force or activity of the soul in its experience through whatever has been the experience of the soul itself."
"Tony Robbins","Setting goals is the first step in turning the invisible into the visible."
"Pat Riley","Courage is not the absence of fear, but simply moving on with dignity despite that fear."
"Galileo Galilei","All truths are easy to understand once they are discovered; the point is to discover them."
"Oscar Wilde","The smallest act of kindness is worth more than the grandest intention."
"Margaret Wheatley","We know from science that nothing in the universe exists as an isolated or independent entity."
"Ralph Emerson","Everything in the universe goes by indirection. There are no straight lines."
"George Eliot","What do we live for, if it is not to make life less difficult for each other?"
"Tenzin Gyatso","When we feel love and kindness toward others, it not only makes others feel loved and cared for, but it helps us also to develop inner happiness and peace."
"Maya Angelou","We may encounter many defeats but we must not be defeated."
"Richard Bach","Every person, all the events of your life are there because you have drawn them there. What you choose to do with them is up to you."
"Albert Einstein","Logic will get you from A to B. Imagination will take you everywhere."
"Sarah Breathnach","Our deepest wishes are whispers of our authentic selves. We must learn to respect them. We must learn to listen."
"Henry Thoreau","The world is but a canvas to the imagination."
"Lisa Alther","Thats the risk you take if you change: that people you've been involved with won't like the new you. But other people who do will come along."
"Walter Benjamin","To be happy is to be able to become aware of oneself without fright."
"Byron Pulsifer","Strength to carry on despite the odds means you have faith in your own abilities and know how."
"Ralph Emerson","Make the most of yourself for that is all there is of you."
"Lama Yeshe","Be gentle first with yourself if you wish to be gentle with others."
"Cardinal Retz","A man who doesn't trust himself can never really trust anyone else."
"Benjamin Disraeli","We make our own fortunes and we call them fate."
"Vince Lombardi","Leaders aren't born they are made. And they are made just like anything else, through hard work. And that's the price well have to pay to achieve that goal, or any goal."
"E. E. Cummings","It takes courage to grow up and become who you really are."
"Og Mandino","Always seek out the seed of triumph in every adversity."
"Catherine Pulsifer","Rather than wishing for change, you first must be prepared to change."
"Buddha","I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on them unless they act."
"Holmes","Fame usually comes to those who are thinking about something else."
"Napoleon Hill","First comes thought; then organization of that thought, into ideas and plans; then transformation of those plans into reality. The beginning, as you will observe, is in your imagination."
"Confucius","The superior man acts before he speaks, and afterwards speaks according to his action."
"Chinese proverb","A single conversation across the table with a wise person is worth a months study of books."
"Mohandas Gandhi","The difference between what we do and what we are capable of doing would suffice to solve most of the worlds problems."
"","You can never cross the ocean unless you have the courage to lose sight of the shore."
"Vaclav Havel","Work for something because it is good, not just because it stands a chance to succeed."
"Carl Jung","Knowledge rests not upon truth alone, but upon error also."
"Katherine Mansfield","Make it a rule of life never to regret and never to look back. Regret is an appalling waste of energy; you can't build on it; it's only for wallowing in."
"Victoria Holt","Never regret. If it's good, it's wonderful. If it's bad, it's experience."
"Chuang Tzu","When deeds and words are in accord, the whole world is transformed."
"Mother Teresa","Kind words can be short and easy to speak but their echoes are truly endless."
"William Blake","For everything that lives is holy, life delights in life."
"Dalai Lama","The most important thing is transforming our minds, for a new way of thinking, a new outlook: we should strive to develop a new inner world."
"Billie Armstrong","Our passion is our strength."
"Leonardo da Vinci","In rivers, the water that you touch is the last of what has passed and the first of that which comes; so with present time."
"Byron Pulsifer","Spring is a time for rebirth and the fulfilment of new life."
"Marcus Aurelius","There is nothing happens to any person but what was in his power to go through with."
"Alfred Korzybski","There are two ways to slide easily through life: to believe everything or to doubt everything; both ways save us from thinking."
"Alfred Whitehead","The art of progress is to preserve order amid change, and to preserve change amid order."
"Winston Churchill","We make a living by what we get, but we make a life by what we give."
"Friedrich von Schiller","If you want to study yourself, look into the hearts of other people. If you want to study other people, look into your own heart."
"Wayne Dyer","Maxim for life: You get treated in life the way you teach people to treat you."
"Charlotte Perkins Gilman","The first duty of a human being is to assume the right functional relationship to society, more briefly, to find your real job, and do it."
"Lao Tzu","The key to growth is the introduction of higher dimensions of consciousness into our awareness."
"Ralph Emerson","Thought is the blossom; language the bud; action the fruit behind it."
"Daisaku Ikeda","True happiness means forging a strong spirit that is undefeated, no matter how trying our circumstances."
"Peter Drucker","There is nothing so useless as doing efficiently that which should not be done at all."
"Leonardo da Vinci","I have been impressed with the urgency of doing. Knowing is not enough; we must apply. Being willing is not enough; we must do."
"William Shakespeare","All the world is a stage, And all the men and women merely players.They have their exits and entrances; Each man in his time plays many parts."
"Nelson Mandela","As we are liberated from our own fear, our presence automatically liberates others."
"James Yorke","The most successful people are those who are good at plan B."
"Aristotle","Criticism is something you can easily avoid by saying nothing, doing nothing, and being nothing."
"Richard Bach","To fly as fast as thought, you must begin by knowing that you have already arrived."
"Hannah More","Obstacles are those things you see when you take your eyes off the goal."
"Michelangelo","The greatest danger for most of us is not that our aim is too high and we miss it, but that it is too low and we reach it."
"Albert Einstein","Great ideas often receive violent opposition from mediocre minds."
"Tony Robbins","We can change our lives. We can do, have, and be exactly what we wish."
"Zig Ziglar","You are the only person on earth who can use your ability."
"Jean Lacordaire","Neither genius, fame, nor love show the greatness of the soul. Only kindness can do that."
"Carl Jung","The least of things with a meaning is worth more in life than the greatest of things without it."
"Isocrates","The noblest worship is to make yourself as good and as just as you can."
"Carl Bard","Though no one can go back and make a brand new start, anyone can start from not and make a brand new ending."
"Denis Waitley","A dream is your creative vision for your life in the future. You must break out of your current comfort zone and become comfortable with the unfamiliar and the unknown."
"Robert Orben","Don't think of it as failure. Think of it as time-released success."
"Aristotle","We are what we repeatedly do. Excellence, then, is not an act but a habit."
"Abraham Lincoln","I walk slowly, but I never walk backward."
"Rene Descartes","Divide each difficulty into as many parts as is feasible and necessary to resolve it."
"","The best place to find a helping hand is at the end of your own arm."
"Blaise Pascal","We know the truth, not only by the reason, but by the heart."
"Kahlil Gibran","We choose our joys and sorrows long before we experience them."
"Oscar Wilde","Anybody can make history. Only a great man can write it."
"Hermann Hesse","If I know what love is, it is because of you."
"Richard Bach","Allow the world to live as it chooses, and allow yourself to live as you choose."
"Barack Obama","Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled."
"Dalai Lama","Compassion and happiness are not a sign of weakness but a sign of strength."
"Franklin D. Roosevelt","It is common sense to take a method and try it. If it fails, admit it frankly and try another. But above all, try something."
"David Bader","Be here now. Be someplace else later. Is that so complicated?"
"Mahummad Ali","To be able to give away riches is mandatory if you wish to possess them. This is the only way that you will be truly rich."
"Confucius","Learning without reflection is a waste, reflection without learning is dangerous."
"","Don't fear failure so much that you refuse to try new things. The saddest summary of life contains three descriptions: could have, might have, and should have."
"Bruce Lee","All fixed set patterns are incapable of adaptability or pliability. The truth is outside of all fixed patterns."
"Oprah Winfrey","I don't believe in failure. It's not failure if you enjoyed the process."
"Helen Keller","The best and most beautiful things in the world cannot be seen, nor touched... but are felt in the heart."
"David Rockefeller","Success in business requires training and discipline and hard work. But if you're not frightened by these things, the opportunities are just as great today as they ever were."
"Cavour","The man who trusts men will make fewer mistakes than he who distrusts them."
"Bruce Lee","The less effort, the faster and more powerful you will be."
"Ralph Emerson","We must be as courteous to a man as we are to a picture, which we are willing to give the advantage of a good light."
"Anais Nin","The dream was always running ahead of me. To catch up, to live for a moment in unison with it, that was the miracle."
"Ellen Parr","The cure for boredom is curiosity. There is no cure for curiosity."
"Mother Teresa","We can do no great things, only small things with great love."
"Kahlil Gibran","Be like the flower, turn your face to the sun."
"Buddha","Remembering a wrong is like carrying a burden on the mind."
"James Openheim","The foolish man seeks happiness in the distance; the wise grows it under his feet."
"Henry Beecher","Gratitude is the fairest blossom which springs from the soul."
"Confucius","If you look into your own heart, and you find nothing wrong there, what is there to worry about? What is there to fear?"
"John Acosta","You cannot have what you do not want."
"Ralph Waldo Emerson","Do not follow where the path may lead. Go, instead, where there is no path and leave a trail."
"Eleanor Roosevelt","It is not fair to ask of others what you are unwilling to do yourself."
"Carl Jung","Knowing your own darkness is the best method for dealing with the darknesses of other people."
"Moncure Conway","The best thing in every noble dream is the dreamer..."
"Walt Disney","Weve got to have a dream if we are going to make a dream come true."
"Norman Peale","If you want things to be different, perhaps the answer is to become different yourself."
"Alexander the Great","There is nothing impossible to him who will try."
"Theodore Rubin","Kindness is more important than wisdom, and the recognition of this is the beginning of wisdom."
"Harriet Tubman","Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world."
"Buddha","The only real failure in life is not to be true to the best one knows."
"Albert Einstein","Anyone who doesn't take truth seriously in small matters cannot be trusted in large ones either."
"Barack Obama","Change will not come if we wait for some other person or some other time. We are the ones weve been waiting for. We are the change that we seek."
"George Santayan","Those who cannot learn from history are doomed to repeat it."
"Carlos Castaneda","The trick is in what one emphasizes. We either make ourselves miserable, or we make ourselves happy. The amount of work is the same."
"Seneca","Things that were hard to bear are sweet to remember."
"Henry James","Three things in human life are important. The first is to be kind. The second is to be kind. The third is to be kind."
"Buddha","However many holy words you read, However many you speak, What good will they do you If you do not act on upon them?"
"Virgil","They can conquer who believe they can."
"Frank Tyger","Learn to listen. Opportunity could be knocking at your door very softly."
"Sai Baba","All action results from thought, so it is thoughts that matter."
"Albert Einstein","There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle."
"Colette","I love my past. I love my present. Im not ashamed of what Ive had, and Im not sad because I have it no longer."
"Maya Angelou","Prejudice is a burden that confuses the past, threatens the future and renders the present inaccessible."
"William Hazlitt","Just as much as we see in others we have in ourselves."
"Geoffrey F. Abert","Prosperity depends more on wanting what you have than having what you want."
"Coco Chanel","How many cares one loses when one decides not to be something but to be someone."
"Lao Tzu","He who knows, does not speak. He who speaks, does not know."
"","We cannot direct the wind but we can adjust the sails."
"Albert Einstein","One may say the eternal mystery of the world is its comprehensibility."
"John Dewey","The self is not something ready-made, but something in continuous formation through choice of action."
"Mahatma Gandhi","Our greatness lies not so much in being able to remake the world as being able to remake ourselves."
"Philip Breedveld","Moments of complete apathy are the best for new creations."
"John Powell","The only real mistake is the one from which we learn nothing."
"Tim Menchen","To dream of the person you would like to be is to waste the person you are."
"Charles Dubois","The important thing is this: to be able at any moment to sacrifice what we are for what we could become."
"Cicero","Gratitude is not only the greatest of virtues, but the paren't of all the others."
"Lama Yeshe","It is never too late. Even if you are going to die tomorrow, keep yourself straight and clear and be a happy human being today."
"Byron Pulsifer","Respect is not something that you can ask for, buy or borrow. Respect is what you earn from each person no matter their background or status."
"Henry Thoreau","Things do not change; we change."
"Blaise Pascal","We must learn our limits. We are all something, but none of us are everything."
"Stephen Sigmund","Learn wisdom from the ways of a seedling. A seedling which is never hardened off through stressful situations will never become a strong productive plant."
"Charles R. Swindoll","We are all faced with a series of great opportunities brilliantly disguised as impossible situations."
"Albert Camus","All men have a sweetness in their life. That is what helps them go on. It is towards that they turn when they feel too worn out."
"Frank Tyger","Be a good listener. Your ears will never get you in trouble."
"Buddha","Meditation brings wisdom; lack of mediation leaves ignorance. Know well what leads you forward and what hold you back, and choose the path that leads to wisdom."
"Anatole France","You learn to speak by speaking, to study by studying, to run by running, to work by working; in just the same way, you learn to love by loving."
"John Marshall","To listen well is as powerful a means of communication and influence as to talk well."
"George Sand","There is only one happiness in life, to love and be loved."
"Matt Zotti","Live through feeling and you will live through love. For feeling is the language of the soul, and feeling is truth."
"Lao Tzu","Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love."
"Thomas Jefferson","Reason and free inquiry are the only effectual agents against error."
"Napoleon Bonaparte","The best cure for the body is a quiet mind."
"Dalai Lama","See the positive side, the potential, and make an effort."
"Jane Roberts","By accepting yourself and being fully what you are, your presence can make others happy."
"Norman Cousins","Never deny a diagnosis, but do deny the negative verdict that may go with it."
"Johann Wolfgang von Goethe","The really unhappy person is the one who leaves undone what they can do, and starts doing what they don't understand; no wonder they come to grief."
"Wayne Dyer","You cannot be lonely if you like the person you're alone with."
"G. K. Chesterton","I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on man unless they act."
"Buddha","If you propose to speak, always ask yourself, is it true, is it necessary, is it kind."
"Cadet Maxim","Risk more than others think is safe. Care more than others think is wise. Dream more than others think is practical.Expect more than others think is possible."
"Og Mandino","Failure will never overtake me if my determination to succeed is strong enough."
"Ralph Marston","Let go of your attachment to being right, and suddenly your mind is more open. You're able to benefit from the unique viewpoints of others, without being crippled by your own judgement."
"Mark Twain","Wrinkles should merely indicate where smiles have been."
"Zig Ziglar","Your attitude, not your aptitude, will determine your altitude."
"Rumi","Let yourself be silently drawn by the stronger pull of what you really love."
"Richard Bach","I gave my life to become the person I am right now. Was it worth it?"
"Hausa","Give thanks for a little and you will find a lot."
"Arie de Gues","Your ability to learn faster than your competition is your only sustainable competitive advantage."
"Paul Boese","Forgiveness does not change the past, but it does enlarge the future."
"Nikola Tesla","Let the future tell the truth, and evaluate each one according to his work and accomplishments. The present is theirs; the future, for which I have really worked, is mine."
"Aristotle","Moral excellence comes about as a result of habit. We become just by doing just acts, temperate by doing temperate acts, brave by doing brave acts."
"William James","The deepest craving of human nature is the need to be appreciated."
"Antoine de Saint-Exupery","Love does not consist of gazing at each other, but in looking together in the same direction."
"Edwin Markham","We have committed the Golden Rule to memory; let us now commit it to life."
"Robert Southey","It is with words as with sunbeams. The more they are condensed, the deeper they burn."
"Tony Robbins","When people are like each other they tend to like each other."
"Confucius","Sincerity is the way of Heaven. The attainment of sincerity is the way of men."
"Mohandas Gandhi","Be the change that you want to see in the world."
"Jim Rohn","The more you care, the stronger you can be."
"Oprah Winfrey","Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down."
"Goethe","Just trust yourself, then you will know how to live."
"Pema Chodron","To be fully alive, fully human, and completely awake is to be continually thrown out of the nest."
"Jim Rohn","If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much."
"Carl Jung","It all depends on how we look at things, and not how they are in themselves."
"","Giving up doesn't always mean you are weak; sometimes it means that you are strong enough to let go."
"William Shakespeare","To climb steep hills requires a slow pace at first."
"Buddha","An idea that is developed and put into action is more important than an idea that exists only as an idea."
"Max Planck","It is not the possession of truth, but the success which attends the seeking after it, that enriches the seeker and brings happiness to him."
"Abraham Lincoln","Truth is generally the best vindication against slander."
"Anna Pavlova","To follow, without halt, one aim: There is the secret of success."
"Nelson Mandela","And as we let our own light shine, we unconsciously give other people permission to do the same."
"Ralph Emerson","What is a weed? A plant whose virtues have not yet been discovered."
"Ralph Emerson","Belief consists in accepting the affirmations of the soul; Unbelief, in denying them."
"","Many people have gone further than they thought they could because someone else thought they could."
"Rabindranath Tagore","We read the world wrong and say that it deceives us."
"Edith Wharton","If only wed stop trying to be happy wed have a pretty good time."
"Eleanor Roosevelt","You must do the things you think you cannot do."
"Oscar Wilde","Be yourself; everyone else is already taken."
"Richard Bach","The mark of your ignorance is the depth of your belief in injustice and tragedy. What the caterpillar calls the end of the world, the Master calls the butterfly."
"Edna Millay","I am glad that I paid so little attention to good advice; had I abided by it I might have been saved from some of my most valuable mistakes."
"Abraham Lincoln","Most folks are as happy as they make up their minds to be."
"Oliver Holmes","Love is the master key that opens the gates of happiness."
"Cecil B. DeMille","The person who makes a success of living is the one who see his goal steadily and aims for it unswervingly. That is dedication."
"George Shaw","My reputation grows with every failure."
"Ralph Emerson","Good thoughts are no better than good dreams, unless they be executed."
"Dalai Lama","Happiness does not come about only due to external circumstances; it mainly derives from inner attitudes."
"Buddha","However many holy words you read, however many you speak, what good will they do you if you do not act on upon them?"
"Harry Banks","For success, attitude is equally as important as ability."
"Colin Powell","If you are going to achieve excellence in big things, you develop the habit in little matters. Excellence is not an exception, it is a prevailing attitude."
"Albert Einstein","A person who never made a mistake never tried anything new."
"Buddha","Better than a thousand hollow words is one word that brings peace."
"George Bernard Shaw","The possibilities are numerous once we decide to act and not react."
"Henri Amiel","Almost everything comes from nothing."
"Donald Trump","Sometimes by losing a battle you find a new way to win the war."
"Richard Bach","Listen to what you know instead of what you fear."
"Betty Friedan","It is easier to live through someone else than to become complete yourself."
"John Simone","If you're in a bad situation, don't worry it'll change. If you're in a good situation, don't worry it'll change."
"Zig Ziglar","Remember that failure is an event, not a person."
"Oprah Winfrey","Don't settle for a relationship that won't let you be yourself."
"Richard Bach","What the caterpillar calls the end of the world, the master calls a butterfly."
"Thomas Carlyle","Instead of saying that man is the creature of circumstance, it would be nearer the mark to say that man is the architect of circumstance."
"Tony Robbins","If you do what you've always done, you'll get what youve always gotten."
"Mother Teresa","Do not wait for leaders; do it alone, person to person."
"Plotinus","Knowledge has three degrees, opinion, science, illumination. The means or instrument of the first is sense; of the second, dialectic; of the third, intuition."
"Mary Parrish","Love vanquishes time. To lovers, a moment can be eternity, eternity can be the tick of a clock."
"Voltaire","We never live; we are always in the expectation of living."
"Henri L. Bergson","Think like a man of action; act like a man of thought."
"Ziggy","You can complain because roses have thorns, or you can rejoice because thorns have roses."
"Anais Nin","There is not one big cosmic meaning for all, there is only the meaning we each give to our life."
"Lao Tzu","A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves."
"John Lennon","Time you enjoyed wasting was not wasted."
"Albert Camus","You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life."
"Daisaku Ikeda","Genuine sincerity opens people's hearts, while manipulation causes them to close."
"Confucius","To give ones self earnestly to the duties due to men, and, while respecting spiritual beings, to keep aloof from them, may be called wisdom."
"Zadok Rabinowitz","A man's dreams are an index to his greatness."
"William Lyon Phelps","This is the final test of a gentleman: his respect for those who can be of no possible value to him."
"Richard Bach","You teach best what you most need to learn."
"Winston Churchill","Continuous effort, not strength or intelligence, is the key to unlocking our potential."
"Henry Ford","Obstacles are those frightful things you see when you take your eyes off your goal."
"Wayne Dyer","Go for it now. The future is promised to no one."
"John Holmes","Never tell a young person that anything cannot be done. God may have been waiting centuries for someone ignorant enough of the impossible to do that very thing."
"Byron Pulsifer","Bold is not the act of foolishness but the attribute and inner strength to act when others will not so as to move forward not backward."
"Daisaku Ikeda","If we look at the world with a love of life, the world will reveal its beauty to us."
"Ralph Emerson","In skating over thin ice our safety is in our speed."
"W. Clement Stone","When you discover your mission, you will feel its demand. It will fill you with enthusiasm and a burning desire to get to work on it."
"Publilius Syrus","Never promise more than you can perform."
"Nora Roberts","If you don't go after what you want, you'll never have it. If you don't ask, the answer is always no. If you don't step forward, you're always in the same place."
"Lou Holtz","I can't believe that God put us on this earth to be ordinary."
"Napoleon Hill","There are no limitations to the mind except those we acknowledge."
"Jules Poincare","It is through science that we prove, but through intuition that we discover."
"Richard Bach","Don't be dismayed by good-byes. A farewell is necessary before you can meet again. And meeting again, after moments or lifetimes, is certain for those who are friends."
"Carla Gordon","If someone in your life talked to you the way you talk to yourself, you would have left them long ago."
"Edward Ericson","The cosmos is neither moral or immoral; only people are. He who would move the world must first move himself."
"Daisaku Ikeda","If you lose today, win tomorrow. In this never-ending spirit of challenge is the heart of a victor."
"Linda Hogan","There is a way that nature speaks, that land speaks. Most of the time we are simply not patient enough, quiet enough, to pay attention to the story."
"Georg Lichtenberg","I cannot say whether things will get better if we change; what I can say is they must change if they are to get better."
"Eckhart Tolle","The greater part of human pain is unnecessary. It is self-created as long as the unobserved mind runs your life."
"Alexander Pope","Blessed is the man who expects nothing, for he shall never be disappointed."
"Lao Tzu","He who knows others is wise. He who knows himself is enlightened."
"Peter Drucker","The best way to predict your future is to create it."
"May Sarton","A garden is always a series of losses set against a few triumphs, like life itself."
"Rachel Carson","If facts are the seeds that later produce knowledge and wisdom, then the emotions and the impressions of the senses are the fertile soil in which the seeds must grow."
"Ernest Hemingway","Never mistake motion for action."
"Hannah Senesh","One needs something to believe in, something for which one can have whole-hearted enthusiasm. One needs to feel that ones life has meaning, that one is needed in this world."
"Lao Tzu","One who is too insistent on his own views, finds few to agree with him."
"Harry Burchell Mathews","Translation is the paradigm, the exemplar of all writing. It is translation that demonstrates most vividly the yearning for transformation that underlies every act involving speech, that supremely human gift."
"Voltaire","Meditation is the dissolution of thoughts in eternal awareness or Pure consciousness without objectification, knowing without thinking, merging finitude in infinity."
"George Shaw","The reasonable man adapts himself to the world; the unreasonable man persists in trying to adapt the world to himself. Therefore, all progress depends on the unreasonable man."
"Michael Burke","Good instincts usually tell you what to do long before your head has figured it out."
"Pema Chodron","It isn't what happens to us that causes us to suffer; it's what we say to ourselves about what happens."
"Edgar Allan Poe","Those who dream by day are cognizant of many things which escape those who dream only by night."
"Ben Sweetland","We cannot hold a torch to light another's path without brightening our own."
"Richard Bach","You are never given a wish without also being given the power to make it come true. You may have to work for it, however."
"Mother Teresa","Kind words can be short and easy to speak, but their echoes are truly endless."
"","Count your joys instead of your woes. Count your friends instead of your foes."
"John Updike","Dreams come true. Without that possibility, nature would not incite us to have them."
"Byron Pulsifer","Staying in one place is the best path to be taken over and surpassed by many."
"Carl Sagan","Imagination will often carry us to worlds that never were. But without it we go nowhere."
"Helen Keller","When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us."
"Jawaharlal Nehru","A leader or a man of action in a crisis almost always acts subconsciously and then thinks of the reasons for his action."
"Albert Einstein","I have no special talent. I am only passionately curious."
"Elizabeth Montagu","I endeavour to be wise when I cannot be merry, easy when I cannot be glad, content with what cannot be mended and patient when there is no redress."
"William Scolavino","The height of your accomplishments will equal the depth of your convictions."
"Rabbi Hillel","If I am not for myself, who will be for me? If I am not for others, what am I? And if not now, when?"
"Audre Lorde","When I dare to be powerful, to use my strength in the service of my vision, then it becomes less and less important whether I am afraid."
"Alexis Carrel","All great men are gifted with intuition. They know without reasoning or analysis, what they need to know."
"Mark Twain","To get the full value of joy you must have someone to divide it with."
"Johann Wolfgang von Goethe","Sometimes our fate resembles a fruit tree in winter. Who would think that those branches would turn green again and blossom, but we hope it, we know it."
"Leo Tolstoy","We lost because we told ourselves we lost."
"James Pence","Success is determined by those whom prove the impossible, possible."
"Agatha Christie","Good advice is always certain to be ignored, but that's no reason not to give it."
"Dale Earnhardt","The winner ain't the one with the fastest car it's the one who refuses to lose."
"Robert C. Solomon","Spirituality can be severed from both vicious sectarianism and thoughtless banalities. Spirituality, I have come to see, is nothing less than the thoughtful love of life."
"Sam Rayburn","No one has a finer command of language than the person who keeps his mouth shut."
"Denis Waitley","The only person who never makes mistakes is the person who never does anything."
"John Lennon","Life is what happens to you while you're busy making other plans."
"Jonathan Swift","Discovery consists of seeing what everybody has seen and thinking what nobody else has thought."
"Margaret Fuller","If you have knowledge, let others light their candles in it."
"Epictetus","It is impossible for a man to learn what he thinks he already knows."
"Will Rogers","If you find yourself in a hole, the first thing to do is stop digging."
"Plutarch","To make no mistakes is not in the power of man; but from their errors and mistakes the wise and good learn wisdom for the future."
"Lee Womack","I think you can have moderate success by copying something else, but if you really want to knock it out of the park, you have to do something different and take chances."
"Marcus Aurelius","Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth."
"William Menninger","Six essential qualities that are the key to success: Sincerity, personal integrity, humility, courtesy, wisdom, charity."
"Lucille Ball","I have an everyday religion that works for me. Love yourself first, and everything else falls into line."
"Chuang Tzu","Flow with whatever is happening and let your mind be free. Stay centred by accepting whatever you are doing. This is the ultimate."
"Jane Addams","Nothing could be worse than the fear that one had given up too soon, and left one unexpended effort that might have saved the world."
"Aristotle","The energy of the mind is the essence of life."
"Horace","Begin, be bold, and venture to be wise."
"Lao Tzu","Give a man a fish and you feed him for a day. Teach him how to fish and you feed him for a lifetime."
"Francis Bacon","A wise man will make more opportunities than he finds."
"Eddie Cantor","Slow down and enjoy life. It's not only the scenery you miss by going too fast, you also miss the sense of where you are going and why."
"Wayne Dyer","Miracles come in moments. Be ready and willing."
"Sophocles","Numberless are the worlds wonders, but none more wonderful than man."
"Ralph Emerson","So is cheerfulness, or a good temper, the more it is spent, the more remains."
"Francoise de Motteville","The true way to render ourselves happy is to love our work and find in it our pleasure."
"Wayne Dyer","When you judge another, you do not define them, you define yourself."
"Richard Bach","Argue for your limitations, and sure enough they're yours."
"Confucius","He who wishes to secure the good of others, has already secured his own."
"Plato","Wise men talk because they have something to say; fools, because they have to say something."
"Confucius","Life is really simple, but we insist on making it complicated."
"Jim Bishop","The future is an opaque mirror. Anyone who tries to look into it sees nothing but the dim outlines of an old and worried face."
"Carl Jung","Everything that irritates us about others can lead us to a better understanding of ourselves."
"","Beware of the half truth. You may have gotten hold of the wrong half."
"Elbert Hubbard","The greatest mistake you can make in life is to be continually fearing you will make one."
"Calvin Coolidge","I have never been hurt by anything I didn't say."
"Thomas Kempis","Be not angry that you cannot make others as you wish them to be, since you cannot make yourself as you wish to be."
"William Ward","Adversity causes some men to break, others to break records."
"Thomas Fuller","An invincible determination can accomplish almost anything and in this lies the great distinction between great men and little men."
"Abernathy","The industrial landscape is already littered with remains of once successful companies that could not adapt their strategic vision to altered conditions of competition."
"Christian Bovee","Example has more followers than reason."
"Epictetus","One that desires to excel should endeavour in those things that are in themselves most excellent."
"Mary Pickford","If you have made mistakes, there is always another chance for you. You may have a fresh start any moment you choose."
"Robert Pirsig","The only Zen you find on the tops of mountains is the Zen you bring up there."
"Doris Day","Gratitude is riches. Complaint is poverty."
"Richard Needham","Strong people make as many mistakes as weak people. Difference is that strong people admit their mistakes, laugh at them, learn from them. That is how they become strong."
"Byron Pulsifer","To know your purpose is to live a life of direction, and in that direction is found peace and tranquillity."
"Harriet Woods","You can stand tall without standing on someone. You can be a victor without having victims."
"Ralph Emerson","Bad times have a scientific value. These are occasions a good learner would not miss."
"","It's not who you are that holds you back, it's who you think you're not."
"Pablo Picasso","All children are artists. The problem is how to remain an artist once he grows up."
"Philip Sidney","Either I will find a way, or I will make one."
"Lao Tzu","He who knows that enough is enough will always have enough."
"Ralph Emerson","The only way to have a friend is to be one."
"Anne Bradstreet","If we had no winter, the spring would not be so pleasant; if we did not sometimes taste of adversity, prosperity would not be so welcome."
"Marianne Williamson","Joy is what happens to us when we allow ourselves to recognize how good things really are."
"Carl Jung","Your vision will become clear only when you can look into your own heart. Who looks outside, dreams; who looks inside, awakes."
"Brian Tracy","There is never enough time to do everything, but there is always enough time to do the most important thing."
"Marian Edelman","You really can change the world if you care enough."
"Buddha","What you are is what you have been. What you'll be is what you do now."
"Gordon Hinckley","Our lives are the only meaningful expression of what we believe and in Whom we believe. And the only real wealth, for any of us, lies in our faith."
"Benjamin Haydon","There surely is in human nature an inherent propensity to extract all the good out of all the evil."
"Lao Tzu","Music in the soul can be heard by the universe."
"John Lubbock","What we see depends mainly on what we look for."
"Bruce Lee","To hell with circumstances; I create opportunities."
"Ella Wilcox","The truest greatness lies in being kind, the truest wisdom in a happy mind."
"John Junor","An ounce of emotion is equal to a ton of facts."
"Barbara De Angelis","We need to find the courage to say NO to the things and people that are not serving us if we want to rediscover ourselves and live our lives with authenticity."
"Lazurus Long","Great is the art of beginning, but greater is the art of ending."
